,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
136,137,NCT04959071,Diabetic Foot Ulcer|Healing Delayed|Wound; Foot|Diabetes Mellitus,Mean Healing Time of Wound After Vacuum Assisted Closure (VAC) Versus Conventional Dressing in Diabetic Foot Ulcer Patients,Procedure,Pakistan,"February 28, 2020","August 27, 2020",Pakistan
137,138,NCT00638872,Diabetic Ulcer|Foot Ulcer Unhealed,Polydeoxyribonucleotide -Placentex Mastelli(Pdrn) for the Treatment of Diabetic Ulcers,Drug,Italy,October 2007,December 2011,Italy
138,139,NCT04186377,Diabetic Foot|Neuropathic Foot Ulcer|Chronic Diabetic Ulcer of Left Foot (Diagnosis)|Chronic Diabetic Foot Ulcer of Right Foot,Application of S26E for Diabetic Foot Ulcer Healing,Other,Greece,"May 15, 2020","November 29, 2021",Greece
139,140,NCT00935051,Diabetic Foot Ulcer,Matrix Metalloproteinase-1/Tissue Inhibitor of Metalloproteinase-1 (MMP-1/TIMP-1) Ratio and Diabetic Foot Ulcers,Other,France|France,May 2009,November 2013,France
140,141,NCT03404895,Diabetes|Diabetic Foot Ulcer|Edema,The Mount Sinai Diabetic Foot Ulcer Prospective Trial,Device,United States,"April 13, 2018",February 2022,United States
141,142,NCT04275804,Diabetic Foot Ulcer,Vibration Enhances Diabetic ULCER Healing,Device,,"January 1, 2022","December 31, 2024",
142,143,NCT04240574,Diabetic Foot Ulcer|Non-healing Wound|Non-Healing Ulcer of Skin|Venous Leg Ulcer|Venous Ulcer,Debritom - Micro Water Jet Technology and Wound Healing,Device,United States,"January 24, 2020","August 6, 2021",United States
143,144,NCT03827902,Diabetes Complications|Diabetes|Diabetic Foot Ulcer|Wound Infection,Diabetic Foot Ulcer and Wound Infection,Device,United States,"July 9, 2019","April 2, 2020",United States
144,145,NCT00709514,Chronic Diabetic Foot Ulcer,Clinical Evaluation of DCB-WH1 in Healing of Chronic Diabetic Foot Ulcers,Drug,Taiwan,December 2008,March 2012,Taiwan
145,146,NCT04624516,Diabetic Foot Ulcer|Diabetic Foot,Effect of Self-foot Exercise on the Incidence of Plantar Foot Diabetic Ulcer Recurrence,Other,Indonesia,"September 4, 2019","July 30, 2020",Indonesia
146,147,NCT04098562,Diabetic Foot Ulcer,"Efficacy of LL-37 Cream on Bacteria Colonization, Inflammation Response and Healing Rate of Diabetic Foot Ulcers",Drug,Indonesia|Indonesia|Indonesia,October 2019,January 2020,Indonesia
147,148,NCT04681326,Incisional Hernia|Peritonitis,Prophylactic Implantation of Biologic Mesh in Peritonitis,Device,Italy,"December 1, 2020","December 1, 2023",Italy
148,149,NCT01951859,Diabetic Neuropathy,Effects of a Homeopathic Anti-inflammatory Topical Cream on Ulcers and Neuropathy in the Diabetic Foot,Other,United States,August 2013,February 2015,United States
149,150,NCT03270904,Ulcer Foot,Moleculight i:X™ in Wound Healing,Device,United Kingdom,"December 1, 2017","August 31, 2018",United Kingdom
150,151,NCT03960463,Surgical Wound|Diabetes|Amputation Wound|Incision Wound|Peripheral Arterial Disease|Breast Cancer|Diabetic Foot,EO2 Oxygen Delivery To Study Success Rate of Surgically Closed Wounds,Device,United States,"May 18, 2017","January 15, 2022",United States
151,152,NCT02041494,"Hernia, Ventral",Complex Ventral Hernia Repair Using Biologic or Synthetic Mesh,Device,United States,March 2014,"October 5, 2019",United States
152,153,NCT03583593,"Diabetic Foot Ulcer|Diabetic Foot|Diabetes Mellitus, Type 2",Evaluation of DIAMEL® Combined With Insulin in Diabetic Foot Ulcer,Dietary Supplement,Cuba,"May 23, 2014","November 30, 2017",Cuba
153,154,NCT01221207,Diabetic Foot Ulcers,Instant Total Contact Cast to Heal Diabetic Foot Ulcers,Device,United States|United States|United States|United States,October 2010,October 2012,United States
154,155,NCT00719251,Diabetic Foot Ulcer,Effects of High Voltage Pulsed Current (HVPC) and Low Level Laser Therapy (LLLT) on Wound Healing in Diabetic Ulcers,Device,Colombia,March 2004,December 2006,Colombia
155,156,NCT03997526,Diabetic Foot Ulcer,3C Patch® Medicare Claims Study,Device,United States|United States|United States|United States|United States|United States,"July 15, 2020","December 31, 2022",United States
156,157,NCT01974544,Type 2 Diabetes,Prevention and Treatment Of Diabetes Complications With Gastric Surgery or Intensive Medicines,Drug,Chile,May 2013,December 2016,Chile
157,158,NCT04567563,Diabetic Foot Ulcer|Diabetic Angiopathies,Remote Ischemic Conditioning and Diabetic Foot Ulcers,Device,,November 2020,November 2022,
158,159,NCT01474473,Foot Ulcer|Diabetes Mellitus|Diabetic Neuropathy,"Efficacy Of CACIPLIQ20 On Diabetic Ulcers In Patients Wearing An Nonremovable, Windowed, Fiberglass Cast Boot",Device,France,August 2011,March 2014,France
159,160,NCT02990832,Diabetic Foot Ulcer,Diabetes Foot Care Clinical Pathway Project - Exciton Technologies Inc,Device,,January 2017,May 2018,
160,161,NCT03679273,Diabetic Foot,Nutritional Supplement on Wound Healing in Diabetic Foot,Dietary Supplement,Taiwan,"October 1, 2018","May 15, 2020",Taiwan
161,162,NCT02098447,Chronic Diabetic Foot Ulcers,Pilot Study on Auricular Vagus Nerve Stimulation Effects in Chronic Diabetic Wounds,Device,Austria,February 2014,"April 13, 2015",Austria
162,163,NCT00446472,Diabetic Foot Ulcers,Evaluation of Windowed Casts With and Without Regranex® Gel for Healing Diabetic Neuropathic Ulcers,Drug,United States|United States,April 2007,September 2010,United States
163,164,NCT00632008,Chronic Diabetic Foot Ulcers,Soluble Beta-glucan (SBG) as Treatment for Diabetic Foot Ulcers,Drug,United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,March 2007,October 2009,United Kingdom
164,165,NCT02168023,Surgical Site Infection|Infection; Cesarean Section,Study to Evaluate DACC Dressings for the Prevention of Surgical Site Infections in Women Undergoing Caesarean Section.,Device,Poland,June 2014,June 2015,Poland
165,166,NCT00318214,"Foot Ulcer, Diabetic|Diabetes Complications","Safety and Efficacy Study of MRE0094 to Treat Large, Single or Multiple, Chronic, Neuropathic, Diabetic Foot Ulcers",Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,June 2006,February 2008,United States
166,167,NCT01645891,Diabetic Foot Ulcer,"A Prospective, Randomized, Double-Blind Multicenter Study Comparing Continuous Diffusion of Oxygen (CDO) Therapy to Standard Moist Wound Therapy (MWT) in the Treatment of Diabetic Foot Ulcers",Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,April 2012,November 2016,United States
167,168,NCT00958711,Diabetic Foot Ulcers,The Mechanism of Action of the Unite Biomatrix in Diabetic Foot Ulcer,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,January 2009,May 2012,United States
168,169,NCT02632929,Diabetic Foot Ulcer,Prevention of Amputation in Diabetic Foot Ulcers Using Amniotic Tissue,,United States,July 2015,December 2019,United States
169,170,NCT01539811,Diabetic Foot Infections,Diabetic Foot Infection Antibiotic Study,Procedure,United States,February 2012,April 2012,United States
170,171,NCT02834858,Peripheral Vascular Disease|Ischemia|Diabetic Foot,Umbilical Cord Mesenchymal Stem Cells Infusion for Diabetes Related Vascular Complications,Biological,China,January 2016,December 2019,China
171,172,NCT02796079,Peripheral Vascular Disease|Ischemia|Diabetic Foot,A Clinical Study Using Autologous Bone Marrow Stem Cell for Diabetes Related Vascular Complications,Biological,China,January 2015,December 2018,China
172,173,NCT02413086,Diabetic Foot Ulcer,Effectiveness and Safety of Early-Stage Amputation and External Herbs Chitosan for Diabetic Foot Ulcer,Procedure,,April 2015,,
173,174,NCT04058626,Diabetic Foot|Peripheral Arterial Disease|Diabetic Foot Ulcer|Peripheral Vascular Diseases|Peripheral Artery Disease|Critical Limb Ischemia|Critical Lower Limb Ischemia,TEsting for Arterial Disease in Diabetes (TrEAD) Study,Diagnostic Test,United Kingdom|United Kingdom,"March 4, 2019","October 18, 2019",United Kingdom
174,175,NCT04233580,Diabetic Foot Ulcer,Characterization of AmnioExcel Plus in Two Treatment Paradigms,Device,United States,"July 9, 2020","June 1, 2022",United States
175,176,NCT00312364,"Foot Ulcer, Diabetic|Diabetes Complications","Safety and Efficacy Study of MRE0094 to Treat Chronic, Neuropathic, Diabetic Foot Ulcers",Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,December 2005,December 2007,United States
176,177,NCT04085926,Diabetic Foot,Sealed Therapeutic Shoe as Treatment of Diabetic Foot Ulcers,Device,Sweden|Sweden|Sweden,"August 2, 2019",December 2027,Sweden
177,178,NCT04784650,Foot Ulcer|Diabetes Mellitus|Chronic Kidney Diseases|Pre-dialysis,The Prevalence of Foot Complaints/Problems and Ulcers in a Pre-dialysis Population,Other,Belgium,"January 31, 2021",December 2021,Belgium
178,179,NCT02599805,Diabetic Foot,Can Topical Oxygen Therapy (Natrox™) Improve Wound Healing in Diabetic Foot Ulcers?,Device,,December 2015,December 2016,
179,180,NCT04446767,Wound Healing Disorder,Photobiomodulation With Polarized Light as Adjunctive Treatment in Diabetic Foot Ulcer,Radiation,Egypt,"June 30, 2020","September 5, 2020",Egypt
180,181,NCT04065724,Diabetes Mellitus|Foot Ulcer,Exercise for People With Peripheral Neuropathy and Diabetic Foot Ulcers - a Case Series on Feasibility and Safety,Other,Denmark,February 2013,January 2015,Denmark
181,182,NCT00820703,Diabetic Foot Ulcer,The ASCEND Study: A Study to Investigate the Safety and Clinical Effect of Nexagon to Treat Slow Healing Diabetic Foot Ulcers,Drug,New Zealand,April 2009,December 2009,New Zealand
182,183,NCT02554851,"Foot Ulcer, Diabetic|Epidermal Growth Factor",Efficacy and Safety Evaluation of the Intralesional Recombinant Human Epidermal Growth Factor (rhEGF) in Subjects With Diabetic Foot Ulcer.,Drug,,January 2017,,
183,184,NCT01573897,Diabetic Foot|Sleep Apnea,Impact of Sleep Apnea on Diabetic Foot Wound.,,France,"June 4, 2012","November 15, 2016",France
184,185,NCT01108120,Diabetic Foot Ulcer,The Therapeutical Role of Continuous Intra-femoral Artery Infusion of Urokinase on Diabetic Foot Ulcers,Drug,China,May 2010,December 2015,China
185,186,NCT04176120,Diabetic Foot Infection|Non-healing Wound|Non-healing Diabetic Foot Ulcer,"Cryopreserved Human Umbilical Cord (TTAX01) for Late Stage, Complex Non-healing Diabetic Foot Ulcers (AMBULATE DFU)",Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"July 1, 2020",April 2023,United States
186,187,NCT01835379,Diabetic Foot Ulcer,Study of Oasis Ultra in Diabetic Foot Ulcers,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,May 2013,September 2014,United States
187,188,NCT02087215,Diabetic Foot Ulcer,Effect of Local Application of Boron on Diabetic Foot Ulcers,Drug,Turkey,January 2014,March 2015,Turkey
188,189,NCT01657318,Ulcer|Skin Ulcer|Leg Ulcer|Diabetic Foot,Olivamine-containing Products in the Management of Patients With Nonhealing Lower Extremity Ulcers,Other,Philippines,"September 1, 2012","February 15, 2013",Philippines
189,190,NCT04796649,Diabetic Foot Ulcer,Laser Therapy for At-Home Treatment of DIabetic Foot Ulcers (LLL&DIAB-03),Device,Israel,"April 15, 2021","April 15, 2022",Israel
190,191,NCT04450693,Diabetic Foot Infection|Non-healing Wound|Non-healing Diabetic Foot Ulcer,"Cryopreserved Human Umbilical Cord (TTAX01) for Late Stage, Complex Non-healing Diabetic Foot Ulcers (AMBULATE DFU II)",Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"November 20, 2020",July 2023,United States
191,192,NCT04315909,Diabetic Foot Ulcers|Diabetic Wound,The Effect of Platelet-Rich Plasma-Fibrin Glue in Combination With Vitamin E and C for Treatment of Non-healing Diabetic Foot Ulcers,Drug,"Iran, Islamic Republic of","August 28, 2019","June 23, 2020","Iran, Islamic Republic of"
192,193,NCT02251418,Diabetic Foot Ulcer,Shockwave Therapy of Chronic Diabetic Foot Ulcers,Device,Denmark,February 2015,December 2015,Denmark
193,194,NCT01729286,"Foot Ulcer, Diabetic",Health Economic Assessment of Lower Extremity Diabetic (HEALED) Ulcers With PriMatrix,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Puerto Rico|Puerto Rico|Puerto Rico,September 2012,October 2016,United States
194,195,NCT03594344,"Diabetes Mellitus|Claudication, Intermittent|Critical Limb Ischemia|Osteomyelitis|Amputation|Lower Extremity Ulcer|Diabetic Angiopathy|Diabetic Neuropathies|Diabetic Foot",Additional Hyperbaric Oxygen After Lower Extremity Amputation,Procedure,Norway|Norway,"July 4, 2018","December 31, 2023",Norway
195,196,NCT01643967,Diabetes Mellitus,Clinical Trial to Evaluate the Efficacy and Safety of the Use of Ozone Versus Sunflower Oil in Treating Diabetic Foot,Other,Brazil,June 2012,January 2013,Brazil
196,197,NCT02841969,Diabetic Foot,Management of the Diabetic Foot Using Electrolysed Water,Other,United Kingdom,"February 28, 2017","March 31, 2020",United Kingdom
197,198,NCT04041739,Diabetic Foot Osteomyelitis,Fungal Infection in Patients With Diabetic Foot Osteomyelitis,Diagnostic Test,Egypt,January 2020,"March 31, 2022",Egypt
198,199,NCT02313428,Diabetic Foot Ulcers|Wound,Topical Oxygen Therapy for Diabetic Wounds,Device,United States,"February 1, 2020","February 1, 2022",United States
199,200,NCT01824407,Diabetic Foot Ulcers,A Comparison of the dermaPACE® (Pulsed Acoustic Cellular Expression) Device in Conjunction With Standard of Care Versus Standard of Care Alone in the Treatment of Diabetic Foot Ulcers,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada,March 2013,,United States
200,201,NCT00617916,Diabetic Foot Ulcers,Hyperspectral Imaging to Assess and Predict Diabetic Foot Ulcers,,United States|United States|United States,March 2006,September 2008,United States
201,202,NCT04558775,Diabetes|Diabetic Foot|Diabetic Foot Ulcer|Diabetic Wound|Diabetic,TEWL Biomarker Study for Diabetic Foot Ulcer Recurrence,Other,United States|United States|United States|United States|United States|United States,"June 17, 2020","September 30, 2022",United States
202,203,NCT00393510,Diabetic Foot Ulcer|Amputation,Herbal Preparation Used as Adjuvant Therapy on Diabetic Ulcers,Drug,China|China,November 2000,March 2006,China
203,204,NCT02018094,Wound Infection|Amputation Wound,The Amputation Surgical Site Infection Trial (ASSIT),Drug,United Kingdom,"October 8, 2013","January 2, 2017",United Kingdom
204,205,NCT04460573,Diabetic Foot Ulcer,Smart Boot Use to Measure Offloading Adherence,Device,,May 2021,December 2025,
205,206,NCT02308800,"Foot Ulcer, Diabetic",Negative Pressure Wound Therapy as a Drug Delivery System (ADANPWT),Device,United States,January 2015,December 2017,United States
206,207,NCT02736253,Diabetic Foot|Osteomyelitis,Risk Factors for Three Critical Stages of the Diabetic Foot Infections,,Turkey,June 2012,February 2015,Turkey
